Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
New Caledonia,Western Pacific,62329,21831.677,321,112.435,0,313,109.633,0,0,0
Bhutan,South-East Asia,59636,7728.795,8,1.037,8,21,2.722,0,0,0
Belize,Americas,59537,14973.04,488,122.728,0,678,170.511,1,0.251,0
Mauritania,Africa,59183,1272.846,60,1.29,0,982,21.12,0,0,0
Cabo Verde,Africa,56532,10167.864,238,42.807,0,402,72.304,0,0,0
Syrian Arab Republic,Eastern Mediterranean,55898,319.405,7,0.04,1,3150,17.999,0,0,0
Jersey,Europe,50740,47070.392,64,59.371,0,129,119.67,0,0,0
Gabon,Africa,47677,2142.08,27,1.213,0,304,13.658,0,0,0
Papua New Guinea,Western Pacific,44638,498.914,190,2.124,1,651,7.276,0,0,0
Seychelles,Africa,44199,44941.889,183,186.076,7,167,169.807,0,0,0
Curaçao,Americas,43953,26785.42,331,201.715,0,277,168.807,0,0,0
Andorra,Europe,43067,55739.339,173,223.905,0,153,198.02,0,0,0
Burundi,Africa,42248,355.3,214,1.8,43,15,0.126,0,0,0
Guam,Western Pacific,41550,24618.575,283,167.679,209,364,215.672,1,0.593,0
Mayotte,Africa,37657,13803.127,76,27.858,0,187,68.545,0,0,0
Aruba,Americas,37352,34984.92,788,738.063,0,213,199.502,0,0,0
Togo,Africa,37131,448.511,46,0.556,5,273,3.298,0,0,0
Guinea,Africa,36764,279.94,0,0,0,442,3.366,0,0,0
Bahamas,Americas,34861,8864.98,189,48.062,0,810,205.979,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
United Republic of Tanzania,Africa,33928,56.798,0,0,0,803,1.344,0,0,0
Lesotho,Africa,33562,1566.671,29,1.354,0,699,32.629,0,0,0
Isle of Man,Europe,33098,38924.17,132,155.236,0,107,125.835,1,1.176,0
Mali,Africa,31110,153.623,14,0.069,1,735,3.629,1,0.005,0
Haiti,Americas,30818,270.273,0,0,0,835,7.323,0,0,0
Benin,Africa,26914,222.004,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26565,167.147,0,0,0,1361,8.563,0,0,0
Cayman Islands,Americas,25886,39388.314,1409,2143.944,0,28,42.605,0,0,0
Saint Lucia,Americas,25877,14092.154,284,154.661,0,371,202.04,0,0,0
Guernsey,Europe,25703,39869.393,124,192.343,0,47,72.904,0,0,0
Congo,Africa,24128,437.253,0,0,0,385,6.977,0,0,0
Timor-Leste,South-East Asia,22927,1738.942,14,1.062,2,131,9.936,0,0,0
Solomon Islands,Western Pacific,21237,3091.788,3063,445.927,0,149,21.692,3,0.437,0
Burkina Faso,Africa,20899,99.98,0,0,0,384,1.837,0,0,0
United States Virgin Islands,Americas,20039,19189.849,507,485.516,0,113,108.212,0,0,0
Gibraltar,Europe,18419,54670.387,0,0,0,102,302.751,0,0,0
Grenada,Americas,17833,15848.315,171,151.969,0,228,202.625,2,1.777,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17630,157.499,31,0.277,0,138,1.233,0,0,0
Liechtenstein,Europe,17436,44999.613,6,15.485,0,83,214.21,0,0,0
San Marino,Europe,17124,50456.715,19,55.984,0,115,338.853,0,0,0
Equatorial Guinea,Africa,15924,1135.009,3,0.214,0,183,13.044,0,0,0
Djibouti,Eastern Mediterranean,15675,1586.538,0,0,0,189,19.13,0,0,0
Bermuda,Americas,15085,24223.982,330,529.925,0,138,221.605,0,0,0
Nicaragua,Americas,14538,219.456,30,0.453,0,239,3.608,1,0.015,0
Central African Republic,Africa,14371,297.551,0,0,0,113,2.34,0,0,0
Dominica,Americas,14295,19856.649,0,0,0,67,93.067,0,0,0
Samoa,Western Pacific,13924,7017.65,544,274.174,277,27,13.608,2,1.008,1
Monaco,Europe,12306,31357.66,136,346.55,6,57,145.245,0,0,0
Gambia,Africa,12002,496.634,0,0,0,365,15.103,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11822,39.637,0,0,0,2149,7.205,0,0,0
Tonga,Western Pacific,11769,11134.869,125,118.265,27,12,11.353,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,11366,19747.381,33,57.334,0,34,59.072,0,0,0
Saint Martin,Americas,10688,27646.861,0,0,0,44,113.816,0,0,0
Sint Maarten,Americas,10353,24142.997,74,172.567,0,86,200.55,0,0,0
Vanuatu,Western Pacific,10061,3275.652,1049,341.533,16,14,4.558,0,0,0
Eritrea,Africa,9767,275.404,10,0.282,0,103,2.904,0,0,0
Niger,Africa,9031,37.308,0,0,0,310,1.281,0,0,0
Saint Vincent and the Grenadines,Americas,8762,7897.963,66,59.492,0,108,97.35,2,1.803,0
Bonaire,Americas,8594,41090.127,39,186.469,0,30,143.438,0,0,0
Antigua and Barbuda,Americas,8295,8470.422,176,179.722,0,138,140.918,0,0,0
Guinea-Bissau,Africa,8283,420.884,14,0.711,0,171,8.689,0,0,0
Comoros,Africa,8126,934.452,0,0,0,160,18.399,0,0,0
Sierra Leone,Africa,7682,96.302,0,0,0,125,1.567,0,0,0
Liberia,Africa,7456,147.419,0,0,0,294,5.813,0,0,0
Chad,Africa,7417,45.154,0,0,0,193,1.175,0,0,0
British Virgin Islands,Americas,6765,22373.251,75,248.04,0,62,205.047,0,0,0
American Samoa,Western Pacific,6192,11218.001,47,85.15,0,31,56.162,0,0,0
Turks and Caicos Islands,Americas,6148,15878.919,0,0,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,5982,2729.525,0,0,0,73,33.309,0,0,0
Saint Kitts and Nevis,Americas,5757,10823.056,38,71.439,0,43,80.839,0,0,0
Cook Islands,Western Pacific,5697,32435.664,61,347.301,5,1,5.693,0,0,0
Palau,Western Pacific,5083,28095.291,40,221.092,18,6,33.164,0,0,0
Saint Barthélemy,Americas,4594,46474.456,0,0,0,4,40.465,0,0,0
Anguilla,Americas,3294,21957.072,91,606.586,0,9,59.992,0,0,0
Kiribati,Western Pacific,3098,2593.576,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,2748,47420.19,0,0,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1710,49095.607,47,1349.411,0,0,0,0,0,0
Montserrat,Americas,980,19603.921,22,440.088,0,6,120.024,2,40.008,0
Sint Eustatius,Americas,924,29436.126,0,0,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,605,31298.5,8,413.864,0,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Micronesia (Federated States of),Western Pacific,31,26.951,1,0.869,1,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,18,30.408,1,1.689,0,0,0,0,0,0
Niue,Western Pacific,9,556.242,0,0,0,0,0,0,0,0
Nauru,Western Pacific,3,27.691,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,3,25.441,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
